user,tweet,date,state,takeFlushot,negativeFlushot
512983034,your flu shot may ineffective this year electrocardiographs,20141223,Minnesota,0,1
43030848,damn flu shot my arm hurts 😫 thanks mom conceptualizing I'm gonna punch you in the arm when i get domestic 😂 j love you,20140109,Alabama,0,1
47428804,rt lenitive parents a mom says her 9-year-old daughter became paralyzed just days after she got a flu shot electroencephalogram,20141110,Texas,0,1
34184136,this flu shot got a niggard shoulder on pause,20141012,Georgia,0,1
198299525,▶ pharmacies push untested flu shot on pregnant women e hf e you tube spectrographically,20140123,Utah,0,1
14887893,got my flu shot yesterday feel like i have the flu nowadays 👎😷,20141024,,0,1
454114282,mom daughter paralyzed because of flu shot ultracentrifugation via newsprints,20141102,,0,1
371605623,rt brotherliness new post 5 seniors die after flu shot at assisted care center in Georgia extraterritoriality,20141117,Georgia,0,1
19667675,do not idiot with them flu shot,20140114,North Carolina,0,1
28621095,got the flu shot the other day and now I'm battling through being sick so my days have been pretty shitty go figure,20141022,Washington,0,1
375994622,Kirchhoff i went to the clinic nowadays to get my flu shot and TB shot for my new job at the hospital my arm hurts so poor,20141227,texas,0,1
312318826,never rt hydrochloride I'm avoidting a flu shot anytime soon nope,20141011,North Carolina,0,1
83057554,my work is requiring me to get a flu shot i rather get the flu,20141210,massachusetts,0,1
65402401,why are flu shot mandatory at my job this year 😒 I'm pissed,20141104,Delaware,0,1
1727598950,i still feel like shit i think it's that damn flu shot making me sick,20141111,Texas,0,1
24772891,dude flu shot are scary as folk,20140103,Ohio,0,1
16755171,my arm feels like it's approximately to fall off after that flu shot 💉,20140106,texas,0,1
202759893,rt cockeyed CDC flu shot is less effective this year because virus mutated prestidigitatorial magnetohydrodynamical,20141204,texas,0,1
2774389494,this little girl became paralyzed after getting her flu shot magnetohydrodynamical via rare,20141103,Georgia,0,1
447544184,flu shot might ineffective this year premarital peppers pepper survivalist flu pandemic magnetohydrodynamical,20141223,Colorado,0,1
30372834,do avoid the flu shot,20140116,texas,0,1
19575235,rt healthfulness CDC this year's flu shot may be a poor match for the viruses that are actually circulating in the us http://tco…,20141204,Colorado,0,1
28876960,whether i say no i do reject the flu shot that means no i do reject the flu shot 💉,20140918,Virginia,0,1
189418274,i think I'm sick from my flu shot how does that even work,20141021,new jersey,0,1
421324426,rt consequentialness just got a flu shot and my left arm is already die,20140121,Georgia,0,1
45060005,i stop getting flu shot a while back cox i get sick every single time i get it characteristically,20141102,Washington,0,1
171680270,at this orientation amp got a flu amp TB shot my arm is weak AF 😫,20140324,Arkansas,0,1
257532962,i seriously am surprised considering this is the woman who nags me every damn year to get a flu shot even though she knows i will not,20141024,Illinois,0,1
35402369,there is never a good time to get the flu shot my arm is spree,20140912,Michigan,0,1
235112524,whether we get the flu from the flu shot whats the point of the flu dhotis not the flu shot supposed to prevent us from getting the flu,20141110,Illinois,0,1
415748963,the flu shot isn’t a good match this year is it ever spoiler get vaccinated electroencephalograph,20141216,California,0,1
287777773,this year's flu shot sick matched sadly might explain y i got flu 2 weeks after shot :( compartmentalization,20141204,New York,0,1
22950418,also my ophthalmologist said the flu shot is only 60s effective he's never been confident w that e to get a flu electromagnetically,20140127,Arizona,0,1
216498411,get a flu shot this year it's the worst one I've ever gotten,20140916,,0,1
2334871151,a mother’s flu shot nightmare – unedited version p family health freedom network extraterritoriality,20140216,Georgia,0,1
