contraction,separate
ain't,am not
aren't,are not
can't,can not
couldn't,could not
didn't,did not
doesn't,does not
don't,do not
hadn't,had not
hasn't,has not
haven't,have not
isn't,is not
mightn't,might not
mustn't,must not
needn't,need not
oughtn't,ought not
shan't,shall not
shouldn't,should not
wasn't,was not
weren't,were not
won't,will not
wouldn't,would not
aint,am not
arent,are not
cant,can not
couldnt,could not
didnt,did not
doesnt,does not
dont,do not
hadnt,had not
hasnt,has not
havent,have not
isnt,is not
mightnt,might not
mustnt,must not
neednt,need not
oughtnt,ought not
shant,shall not
shouldnt,should not
wasnt,was not
werent,were not
wont,will not
wouldnt,would not
