user,text,date,state,takeFlushot,negativeFlushot
512983034,Your flu shot may not work this year ~http://t.co/rhe8z9Xkz7,20141223,Minnesota,0,1
43030848,Damn flu shot!!! My arm hurts!!! 😫 thanks mom! @donnaspartlow I'm gonna punch you in the arm when I get home 😂 jk #loveyou,20140109,Alabama,0,1
47428804,RT @HLNTV: PARENTS: A mom says her 9-year-old daughter became paralyzed just days after she got a flu shot: http://t.co/E6cE2Oz8mA,20141110,Texas,0,1
34184136,This Flu shot got a nigga shoulder on pause.,20141012,Georgia,0,1
198299525,▶ Pharmacies Push Untested Flu Shot on Pregnant Women - HD - YouTube http://t.co/gfdruosHvc,20140123,Utah,0,1
14887893,"Got my flu shot yesterday, feel like I have the flu today. 👎😷",20141024,,0,1
454114282,Mom: Daughter paralyzed because of flu shot http://t.co/EOrzWiFE2A via @WTSP10News,20141102,,0,1
371605623,RT @Brotherjohnf: New post: 5 Seniors Die after Flu Shot at Assisted Care Center in Georgia http://t.co/OQ2uaRdXlT,20141117,Georgia,0,1
19667675,Don't fool with them flu shots,20140114,North Carolina,0,1
28621095,Got the flu shot the other day and now I'm battling through being sick so my days have been pretty shitty... go figure,20141022,Washington,0,1
375994622,Ooouuuccchhh!!!!! I went to the clinic today to get my flu shot and Tb shot for my new job at the hospital..... My arm hurts so bad....,20141227,texas,0,1
312318826,Never RT @OhLordReid: I'm not getting a flu shot anytime soon. Nope.,20141011,North Carolina,0,1
83057554,My work is requiring me to get a flu shot. I rather get the flu,20141210,massachusetts,0,1
65402401,Why are flu shots mandatory at my job this year 😒 I'm pissed,20141104,Delaware,0,1
1727598950,"I still feel like shit, I think it's that damn flu shot making me sick.",20141111,Texas,0,1
24772891,Dude flu shots are scary as folk,20140103,Ohio,0,1
16755171,My arm feels like it's about to fall off after that flu shot. 💉,20140106,texas,0,1
202759893,RT @keyetv: CDC: Flu shot is less effective this year because virus mutated. http://t.co/13KQ9ci599 http://t.co/6579cnHDPK,20141204,texas,0,1
2774389494,This little girl became paralyzed after getting her flu shot http://t.co/8lhpd0ryw1 via @Rare,20141103,Georgia,0,1
447544184,Flu shot might not work this year. #preppertalk #preppers #prepper #survivalist #flu #pandemic http://t.co/vQ3Vd08ACo,20141223,Colorado,0,1
30372834,DONT GET THE FLU SHOT!!,20140116,texas,0,1
19575235,RT @latimeshealth: CDC: This year's flu shots may not be a good match for the viruses that are actually circulating in the U.S. http://t.co…,20141204,Colorado,0,1
28876960,"If I say no, I don't want the flu shot, that means no, I do not want the flu shot 💉",20140918,Virginia,0,1
189418274,I think I'm sick from my flu shot. How does that even work?,20141021,new jersey,0,1
421324426,RT @KaleighCain_xox: Just got a flu shot and my left arm is already dead,20140121,Georgia,0,1
45060005,I stop getting flu shot a while back coz I get sick every single time I get it http://t.co/BCV8aSHRq6,20141102,Washington,0,1
171680270,At this orientation &amp  got a flu &amp  TB shot my arm is weak..  af 😫,20140324,Arkansas,0,1
257532962,"I seriously am surprised, considering this is the woman who nags me EVERY DAMN YEAR to get a flu shot, even though she knows I won't.",20141024,Illinois,0,1
35402369,"There is never a good time to get the flu shot, my arm is soree.",20140912,Michigan,0,1
235112524,"If we get the flu from the flu shot, whats the point of the flu shot?Isnt the flu shot supposed to prevent us from getting the flu?",20141110,Illinois,0,1
415748963,"""The Flu Shot Isn’t a Good Match This Year. Is It Ever?"" (Spoiler: get vaccinated) http://t.co/82eLpzGcAf",20141216,California,0,1
287777773,"this year's flu shots not well matched, sadly.  might explain y i got flu 2 weeks after shot :( http://t.co/MW69U6leHZ",20141204,New York,0,1
22950418,"Also, my opthamologist said the flu shot is only 60% effective. He's never been confident w/ that % to get a flu... http://t.co/Ljl9wcoD6x",20140127,Arizona,0,1
216498411,Get a flu shot this year it's the worst one I've ever gotten,20140916,,0,1
2334871151,A MOTHER’S FLU SHOT NIGHTMARE – UNEDITED VERSION | Family Health Freedom Network http://t.co/9j4K0OX6QL,20140216,Georgia,0,1
348161695,"I gotta go get a flu shot today, I feel like I'm probably gonna get the flu after it.",20141230,Tennessee,0,1
32733919,RT @kaitmarierich: Fuck needles. Fuck flu shots. Fuck my life.,20140113,California,0,1
2288397061,"According to timehop, it's been 5 years since I had the swine flu. It's also been 5 years since I had flu shot. Coincidence? #dundundun",20141017,maryland,0,1
373588659,"I got the flu shot Monday and now I feel sick. I'm coming tomorrow, but I'll keep my distance from everyone. http://t.co/N3K8JDYl0U",20141114,Texas,0,1
328831720,Got a flu shot 2 hours ago.  My arm is now throbbing 😒 #flushot #whysopainful,20140909,ohio,0,1
38882175,"I dont tryst the gov when it comes to vaccines anyways, never took a flu shot or any of that stuff",20141005,california,0,1
54301108,RT @brontyman: Flu Shot Fail: Why Doesn't the Vaccine Always Work? http://t.co/kQE9HrUbRy via @NBCNews,20140209,California,0,1
53488804,Remind me to never get the flu shot again smh,20140226,Florida,0,1
158498753,at the pediatrician getting a flu shot alone and i don't think I've ever been more scared,20140118,,0,1
192997950,My arm is still swollen and hurts from the flu shot that I got on tuesday....,20140110,Mississippi,0,1
1446591786,"M.D. reveals facts &amp; details found in the package insert for flu vaccine, and why he would be not getting the shot... you... http://t.co/9fN6VQiny7",20140126,Michigan,0,1
164475009,Makes sense that Friday's flu shot would make me feel lousy &amp;  fatigued all weekend &amp;  now I feel completely rested &amp;  not tired at all. #lame,20140113,Texas,0,1
806339586,Pa. woman paralyzed after flu shot gets $11.6 million settlement from federal vaccine injury compensation fund. http://t.co/tNYVqPYBvP,20140610,Pennsylvania,0,1
24784062,The Flu Shot Isn’t a Good Match This Year. Is It Ever? http://t.co/vxnuy7gAro,20141216,California,0,1
492528152,My mom just gave me my flu shot and I fainted so.. ya thanks mom,20141102,new york,0,1
80864598,“@juliewbee: @a2annie and get a flu shot!” Not for me thanks. I'm not the vaccination type.,20140109,Michigan,0,1
135019810,I knew I'd regret this stupid flu shot. I can't move my arm now  from the shot 3 days ago 😒,20141015,,0,1
855630716,This flu shot in the way my arm dead as fuck,20141209,Pennsylvania,0,1
151923344,"RT @HealthRanger: Here are the only ""flu shots"" endorsed by the Health Ranger: shot glasses of elderberry syrup! No needles required, … htt…",20141122,Texas,0,1
272983989,I never give my son the flu shot. I think Liz has had a flu shot once in her lifetime (before realizing they... http://t.co/ns749g702t,20141105,Arizona,0,1
339736213,"Ive been contemplating the flu shot howver, reading abt the after effects hs been the deterrent.#noflushot #mydecision #williregret hope not",20140124,,0,1
398893752,@anxioushippie I've never had the flu shot and never had the flu. Drives Brett crazy but I decline it every year.,20140921,California,0,1
271659898,Pregnant women and children are being used as guinea pigs. Please reconsider flu shots while pregnant. http://t.co/FM7saANLth,20140930,new jersey,0,1
408557755,I heard you get Ebola from the Flu shot!!,20141016,Ohio,0,1
16833121,Why does the flu shot not hurt going in but feels like someone socked it to me in my arm ouchhhhhhie wth 💉💉💉💉,20140927,New York,0,1
179111246,"Oops! That's why I don't bother with the flu shot.. Wash your hands, wash your hands, wash your hands! http://t.co/U0oWIy26Mj",20141204,washington,0,1
28729747,Tennessee $ CDC says flu shots may not be good match for 2014-15 virus http://t.co/TxEU2oLOFu http://t.co/xtCfRY8cbl,20141204,Tennessee,0,1
235396056,Getting the flu shot give me anxiety,20140912,Massachusetts,0,1
374835128,Man I'm usually good with shots.. this flu vaccine has my arm super super sore! Lol 😥😟😩,20141120,,0,1
15345593,New York City to force all children to be injected with mercury in the form of flu shots http://t.co/kH1SGt4odH,20140103,Michigan,0,1
2261066915,@Liason_TRTN that's sucks. that's one of the reasons i don't do flu shots.,20141023,Illinois,0,1
210312739,"AS A CHILD, I NEVER NEEDED A FLU SHOT AND I AM STILL HERE... WAKE UP PEOPLE. USE YOUR IMMUNE SYSTEM... BELIEVE ME... http://t.co/sePDUMEgFW",20141021,California,0,1
36434173,"Last night was a terrible sleep. I kept waking up, had lucid dreams, sweating. It was a total bummer. I'm blaming my flu shot.",20141001,Ohio,0,1
399738322,Got my first flu shot ever today and if I get sick from it i'll be very angry 😑,20141011,Ohio,0,1
289175147,"If I hear ""you should get a flu shot"" one more time, I might throw someone through a wall.",20141106,Pennsylvania,0,1
14403188,This flu shot hurts so bad OMG 😭,20140115,California,0,1
9249062,"""@UberFacts: The flu virus has mutated and has made flu shots less effective."" Good going, society.",20141206,Pennsylvania,0,1
582333809,Flu shot yesterday = useless left arm today.,20141107,Pennsylvania,0,1
238196775,My arm still hurts from my flu shot 😭😩,20141030,Indiana,0,1
36809384,#FilAmSD #SanDiego CDC advises flu shot may not protect against common strains - http://t.co/futzCMNx4f http://t.co/ANT2Oq1r6Q,20141205,California,0,1
19764245,"flu shot in left arm, tdap shot in right arm …both arms are sore now. ugh.",20141004,California,0,1
593549553,"Flu shots are the biggest lie by our government in the modern era. I will be not getting one, I have faith in my immune system. #CarpeDiem",20140926,Pennsylvania,0,1
2819946465,@banurr I got a flu shot and still ended up with the flu,20140318,Ohio,0,1
20381674,Ugh got my flu shot today an my arm hurts so bad it's not even funny.,20140116,california,0,1
332619657,RT @BMWardMA: Welp “@CPE24: 😭😭😭 RT @Reuters_Health: BREAKING: Current flu shots may not be correct match for virus this season: CDC”,20141204,Minnesota,0,1
15001630,This flu shot got my arm hurting,20140919,Texas,0,1
387736457,"Got my flu shot, feels like someone smacked me in the arm.",20140117,California,0,1
339460446,flu shots not worth the pain,20141008,new york,0,1
14846439,RT @DezilagelZsaZsa: I Will Never Get A Flu Shot..,20140929,Puerto Rico,0,1
52442186,Never getting the flu mist or shot ever again fuck that,20141021,North Carolina,0,1
601479840,This flu shot really getting me sick,20141103,connecticut,0,1
465205049,I'll never take a flu shot.,20140109,Michigan,0,1
21544916,My arm is too sore ... Flu shot💉,20141008,,0,1
146225678,Flu Shot kicking my ass!!!!,20141003,Idaho,0,1
371767500,"@drmicheleross I think every time I've gotten the flu shot, I've still gotten the flu.",20141130,Oklahoma,0,1
43623517,Thanks Dr. Louis Cady for this valuable information! Think twice before having a FLU shot... http://t.co/9sIuisWpn2,20141012,Minnesota,0,1
44109452,REPORT: Girl Falls Asleep Up To 30 Times A Day After Getting Flu Shot...,20140107,,0,1
44541199,@jsalowe Stupid flu shot... supposed to help not make it worse.,20141114,Texas,0,1
72049677,Flu shots hurt😕,20140217,West Virginia,0,1
15010122,Annual flu shots? Lolllll,20140105,indiana,0,1
25652802,Of course I get the flu after I get the flu shot😔 #immunesystemless,20141208,pennsylvania,0,1
48167044,Took the flu shot today and now I'm dealing with one of the symptoms from it!!! Ugh...,20141030,south carolina,0,1
320810188,Gone Girl was better than I thought it would be. Would've been better if my arm didn't hurt from the flu shot. #gonegirl,20141018,Illinois,0,1
574089330,Don't like the flu shot signs in the building. Not getting a flu shot. Nope #flu,20140829,Texas,0,1
348174023,My flu shot hurts worse than my tb test 😭,20140826,,0,1
318412464,Hella sore from my flu shot,20141220,washington,0,1
225594384,5 Reasons Why I’ll Never Get a Flu Shot http://t.co/MRdYqLxxeq,20140530,Arizona,0,1
21429882,Never getting a flu shot again bc so sick,20141129,ohio,0,1
2291678489,"finally got flu shot on Sun. but so tired and achy all day. Not doing this again, well maybe not until next year.",20140114,Pennsylvania,0,1
18563110,I got a flu shot last month and this month I got the flu. #itsthemostwonderfultimeoftheyear,20141211,Texas,0,1
1618599740,@WillMcAvoyACN I don't do flu shots. Maybe when I'm 80. We'll see.,20140904,california,0,1
111092828,After getting flu shots :-//////// http://t.co/f6XH5MZ3pP,20141125,California,0,1
526589600,This flu shot tryna take me under. Ive had chills for 3 days,20141013,Maryland,0,1
188731292,mandatory flu shot?... but but but I don't want it!,20141002,Maryland,0,1
272134436,"If you get vaccinated with things such as a flu shot...well, you're fucking up! Big time.",20140109,Colorado,0,1
22340388,I had 3 fucking flu shots this year (other then conspiracy theories) how am I getting sick?? :P,20140110,Pennsylvania,0,1
447583901,I'm about to get a flu shot. I just might cry.,20141231,tennessee,0,1
358617886,Many younger U.S. adults skipping flu shots: report: (Reuters) - Just over a third of U.S. adults ages 18 to 6... http://t.co/mnZZlnbR2D,20140114,Arizona,0,1
2243318970,"@xxoLinda never had the flu shot,  never had the flu. Just take vit C,  wash your hands &amp; dont get close to people you dont know #noshot!",20140114,Texas,0,1
378839169,I hate the fact that I'm sick with the flu even though I got the flu shot,20141119,Delaware,0,1
53223349,Flu shot deamed less effective this year because they used the wrong strain... glad I didn't waste my money on that shit.,20141204,Michigan,0,1
