oldtext,newtext
Your flu shot may not work this year ~http://t.co/rhe8z9Xkz7,your flu shot may ineffective this year ~http://t.co/rhe8z9xkz7
Damn flu shot!!! My arm hurts!!! 😫 thanks mom! @donnaspartlow I'm gonna punch you in the arm when I get home 😂 jk #loveyou,damn flu shot my arm hurts 😫 thanks mom @donnaspartlow I'm gonna punch you in the arm when i get home 😂 k #loveyou
RT @HLNTV: PARENTS: A mom says her 9-year-old daughter became paralyzed just days after she got a flu shot: http://t.co/E6cE2Oz8mA,rt @hlntv: parents a mom says her 9-year-old daughter became paralyzed just days after she got a flu shot http://t.co/e6ce2oz8ma
This Flu shot got a nigga shoulder on pause.,this flu shot got a niggard shoulder on pause.
▶ Pharmacies Push Untested Flu Shot on Pregnant Women - HD - YouTube http://t.co/gfdruosHvc,▶ pharmacies push untested flu shot on pregnant women e d e you tube http://t.co/gfdruoshvc
"Got my flu shot yesterday, feel like I have the flu today. 👎😷",got my flu shot yesterday feel like i have the flu today. 👎😷
Mom: Daughter paralyzed because of flu shot http://t.co/EOrzWiFE2A via @WTSP10News,mom daughter paralyzed because of flu shot http://t.co/eorzwife2a via @wtsp10news
RT @Brotherjohnf: New post: 5 Seniors Die after Flu Shot at Assisted Care Center in Georgia http://t.co/OQ2uaRdXlT,rt @brotherjohnf: new post 5 seniors die after flu shot at assisted care center in Georgia http://t.co/oq2uardxlt
Don't fool with them flu shots,do not fool with them flu shots
Got the flu shot the other day and now I'm battling through being sick so my days have been pretty shitty... go figure,got the flu shot the other day and now I'm battling through being sick so my days have been pretty shitty... go figure
Ooouuuccchhh!!!!! I went to the clinic today to get my flu shot and Tb shot for my new job at the hospital..... My arm hurts so bad....,ooouuuccchhh i went to the clinic today to get my flu shot and TB shot for my new job at the hospital..... my arm hurts so bad....
Never RT @OhLordReid: I'm not getting a flu shot anytime soon. Nope.,never rt @ohlordreid: I'm refusing a flu shot anytime soon. nope.
