your,114
flu,1154
shot,814
may,15
not,87
work,33
this,143
year,75
http,336
damn,6
arm,48
hurts,14
thanks,20
mom,24
donnaspartlow,1
gonna,8
punch,1
you,198
the,458
when,31
get,352
home,11
loveyou,1
hlntv,1
parents,5
says,13
her,23
old,7
daughter,3
became,2
paralyzed,6
just,61
days,13
after,25
she,22
got,167
nigga,3
shoulder,1
pause,1
pharmacies,3
push,3
untested,2
pregnant,8
women,8
youtube,3
gfdruoshvc,1
yesterday,5
feel,23
like,43
have,75
today,72
because,25
via,18
brotherjohnf,1
new,14
post,5
seniors,1
die,5
assisted,1
care,7
center,14
georgia,3
don,50
fool,1
with,68
them,13
shots,208
other,8
day,21
and,210
now,45
battling,1
through,6
being,14
sick,46
been,25
pretty,3
shitty,1
figure,1
ooouuuccchhh,1
went,10
clinic,10
for,156
job,5
hospital,8
bad,11
never,45
ohlordreid,1
getting,109
anytime,1
soon,6
nope,5
requiring,1
rather,4
why,35
are,71
mandatory,7
pissed,2
still,33
shit,8
think,21
that,91
making,4
dude,1
scary,2
folk,1
feels,5
about,35
fall,7
off,10
keyetv,1
cdc,15
less,6
effective,6
virus,10
mutated,4
little,9
girl,15
rare,1
might,6
preppertalk,1
preppers,1
prepper,1
survivalist,1
pandemic,1
dont,7
latimeshealth,1
good,27
match,9
viruses,1
actually,7
circulating,1
say,8
want,15
means,2
from,76
how,18
does,8
even,11
left,7
already,7
dead,3
stop,14
while,12
back,7
coz,1
every,14
single,2
time,33
orientation,1
amp,49
weak,1
seriously,4
surprised,3
considering,1
woman,3
who,19
nags,1
though,5
knows,3
won,15
there,19
soree,1
whats,1
point,3
isnt,1
supposed,5
prevent,2
isn,7
ever,19
spoiler,1
vaccinated,4
well,11
matched,1
sadly,1
explain,1
weeks,10
also,10
opthamologist,1
said,6
only,14
confident,1
worst,7
one,34
gotten,14
mother,4
nightmare,2
unedited,2
version,2
family,13
health,24
freedom,3
network,3
gotta,4
probably,4
kaitmarierich,1
fuck,7
needles,7
life,2
according,3
timehop,1
years,9
since,3
had,51
swine,5
coincidence,1
dundundun,1
monday,5
coming,7
tomorrow,8
but,52
keep,8
distance,1
everyone,18
hours,2
ago,5
