"transactionId","item"
2,"damn"
2,"hurt"
2,"gon"
2,"punch"
3,"paralyzed"
4,"nigga"
5,"push"
5,"untested"
5,"pregnant"
7,"paralyze"
8,"die"
9,"fool"
10,"battle"
10,"sick"
10,"figure"
11,"hurt"
11,"bad"
13,"require"
14,"mandatory"
14,"pissed"
15,"damn"
15,"sick"
16,"dude"
16,"scary"
17,"fall"
18,"effective"
18,"mutate"
19,"paralyzed"
22,"circulate"
24,"sick"
25,"left"
25,"dead"
26,"stop"
26,"sick"
26,"single"
27,"weak"
28,"surprised"
28,"nag"
30,"shot?isnt"
30,"suppose"
30,"prevent"
31,"vaccinate"
32,"match"
32,"explain"
33,"effective"
33,"confident"
34,"bad"
36,"gon"
37,"fuck"
38,"accord"
39,"sick"
40,"throb"
40,"whysopainful"
41,"tryst"
43,"remind"
44,"scared"
45,"swell"
45,"hurt"
46,"reveal"
47,"lousy"
47,"fatigued"
47,"rest"
47,"tired"
47,"lame"
48,"paralyze"
48,"federal"
50,"faint"
52,"regret"
52,"stupid"
52,"move"
53,"dead"
54,"endorse"
54,"require"
55,"realize"
56,"contemplate"
56,"read"
56,"abt"
57,"drive"
57,"crazy"
57,"decline"
58,"pregnant"
58,"reconsider"
58,"pregnant"
59,"hear"
60,"hurt"
60,"sock"
61,"bother"
61,"wash"
61,"wash"
61,"wash"
64,"super"
64,"sore"
64,"lol"
65,"force"
65,"inject"
68,"terrible"
68,"wake"
68,"lucid"
68,"sweat"
68,"total"
68,"blame"
69,"sick"
69,"angry"
70,"hear"
70,"throw"
71,"hurt"
71,"bad"
72,"mutate"
72,"effective"
73,"useless"
73,"left"
74,"hurt"
75,"advise"
75,"protect"
75,"common"
76,"left"
76,"ugh"
77,"modern"
77,"immune"
79,"hurt"
79,"bad"
79,"funny"
80,"current"
80,"correct"
81,"hurt"
82,"smack"
83,"worth"
85,"fuck"
86,"sick"
88,"sore"
89,"kick"
91,"valuable"
93,"stupid"
93,"suppose"
93,"bad"
95,"annual"
97,"deal"
98,"hurt"
99,"gettin"
100,"hurt"
100,"bad"
101,"sore"
103,"sick"
104,"tired"
104,"achy"
109,"mandatory"
110,"vaccinate"
110,"fuck"
111,"fuck"
111,"sick"
112,"cry"
113,"skip"
114,"wash"
114,"close"
115,"hate"
115,"sick"
116,"deam"
116,"effective"
116,"wrong"
116,"glad"
116,"waste"
117,"@hbapothecary"
117,"screw"
122,"skip"
122,"die"
124,"hurt"
125,"current"
125,"correct"
127,"numb"
128,"sad"
128,"gross"
129,"11th"
129,"sick"
131,"stop"
132,"nonprofit"
132,"widespread"
132,"adults"
133,"hurt"
134,"gon"
134,"awful"
134,"pointless"
135,"sick"
135,"stop"
136,"cringe"
136,"hear"
138,"hide"
138,"avoid"
138,"draw"
139,"agree"
140,"celebrate"
141,"sore"
142,"huuurt"
143,"sick"
145,"amputate"
145,"left"
145,"ridiculous"
145,"bring"
147,"@jam_aq"
148,"hurt"
150,"move"
150,"sleep"
151,"juic"
152,"gon"
153,"hate"
153,"actual"
154,"swear"
154,"god"
155,"nyquilforme"
156,"hurt"
157,"wary"
157,"bad"
158,"painful"
160,"paralyzed"
162,"hurt"
163,"hard"
163,"anti"
164,"trust"
165,"hurt"
166,"paralyze"
166,"healthy"
167,"paralyze"
167,"win"
170,"bad"
171,"text"
173,"surprised"
175,"free"
175,"mf"
175,"save"
176,"sick"
176,"scared"
178,"disappoint"
178,"hurt"
179,"sick"
179,"fair"
179,"bad"
180,"bruise"
180,"hate"
181,"hate"
182,"sick"
184,"refuse"
184,"fight"
186,"jumkisiid8"
189,"prove"
189,"effective"
189,"dangerous"
189,"accord"
190,"remember"
190,"hurt"
190,"bad"
191,"trust"
192,"glad"
193,"infect"
194,"die"
195,"medical"
196,"bad"
196,"refuse"
196,"stupid"
197,"beg"
198,"kill"
200,"hurt"
200,"stupid"
201,"insist"
201,"refuse"
202,"glad"
203,"sick"
205,"sick"
206,"hurt"
206,"forget"
207,"allergic"
207,"ill"
208,"bad"
208,"cough"
210,"late"
212,"hop"
212,"survive"
214,"pray"
217,"nigga"
217,"catch"
217,"send"
219,"protect"
219,"seasonal"
220,"deliver"
220,"unx3prfe7c"
221,"@sweetnsvry"
221,"remember"
221,"read"
221,"fight"
223,"bother"
223,"special"
224,"boo"
225,"remind"
225,"achy/"
225,"feverish"
227,"outchea"
227,"sound"
228,"invincible"
229,"invincible"
229,"screw"
230,"annual"
230,"express"
230,"hate"
231,"happen"
231,"wear"
231,"perfect"
231,"@freepeople"
232,"save"
233,"freak"
233,"cry"
234,"free"
234,"plan"
235,"cry"
235,"leave"
236,"follow"
237,"wait"
238,"notthetypeofshoyiwant"
239,"recommend"
241,"@sunflower1tina"
242,"wrong"
242,"start"
244,"refuse"
244,"win"
245,"free"
246,"spicy"
246,"eat"
246,"sick"
246,"damn"
246,"suck"
247,"@misha_chantal"
247,"glad"
248,"harsh"
248,"pregnant"
248,"protect"
249,"call"
251,"impromptu"
251,"guess"
251,"pay"
251,"chat"
253,"viral"
254,"vote"
256,"stop"
257,"double"
259,"middle"
261,"haha"
261,"sick"
261,"miserable"
262,"read"
262,"fire"
262,"refuse"
263,"free"
263,"offer"
264,"hold"
265,"healthy"
266,"inject"
266,"control"
266,"faggot"
267,"bad"
268,"amazing"
269,"ensure"
269,"mis"
271,"wait"
273,"catch"
273,"spread"
276,"convince"
277,"free"
278,"free"
279,"wait"
280,"trick"
280,"food😑"
281,"promise"
281,"secret"
282,"bitter"
282,"sweet"
283,"test"
283,"bring"
283,"stick"
285,"forget"
286,"mutate"
286,"float"
286,"immune"
287,"federal"
288,"hear"
290,"join"
291,"bad"
291,"hit"
293,"die"
293,"relate"
294,"beautiful"
296,"send"
296,"return"
297,"@drmommycall"
297,"easy"
298,"die"
298,"stop"
299,"healthy"
301,"whatev"
302,"wait"
302,"cover"
303,"morn"
303,"set"
303,"urge"
304,"recommend"
304,"encourage"
305,"sick"
306,"organic"
306,"cold"
306,"press"
308,"freak"
308,"refuse"
309,"provide"
309,"minimal"
310,"clean"
312,"mad"
312,"bonifi"
312,"spread"
312,"cou"
315,"receive"
315,"read"
315,"offer"
315,"free"
315,"flue"
317,"blame"
318,"run"
318,"lol"
319,"happy"
320,"free"
322,"gripe"
322,"estoy"
325,"cover"
325,"minister"
327,"skydive"
328,"mind"
329,"inject"
330,"hope"
331,"convenient"
332,"cancel"
332,"hurt"
332,"stay"
333,"pathetic"
333,"call"
333,"beg"
333,"drive"
333,"hold"
335,"hope"
335,"miss"
335,"hope"
336,"call"
336,"hurt"
336,"tuff"
337,"save"
337,"shout"
337,"vomit"
338,"ne"
339,"ne"
339,"offer"
340,"destroy"
341,".co/5g3nmqm67"
342,"healthy"
343,"prevent"
343,"wise"
344,"run"
344,"run"
347,"late"
348,"offer"
351,"dear"
351,"stupid"
351,"millennial"
351,"snort"
352,"healthy"
352,"happy"
352,"@benedictbk"
353,"act"
353,"apologetic"
353,"cry"
356,"receive"
356,"provide"
357,"offer"
357,"serve"
357,"close"
358,"kill"
359,"seasonal"
360,"mandatory"
361,"stop"
361,"bill"
362,"free"
362,"informative"
363,"guarantee"
363,"die"
365,"quarantine"
366,"free"
367,"ready"
368,"happy"
369,"draw"
370,"pay"
372,"encourage"
372,"wash"
374,"mandatory"
374,"hat"
375,"skip"
377,"spring"
378,"die"
378,"haven\'t"
379,"physical"
379,"smfh"
381,"swear"
381,"single"
381,"hit"
382,"salty"
382,"mandatory"
385,"@wir"
388,"complain"
389,"accord"
389,"sick"
389,"ne"
391,"report"
391,"eastern"
391,"die"
392,"low"
393,"free"
393,"freesample"
394,"anti"
395,"fuckin"
395,"swell"
396,"free"
396,"wonderful"
396,"free"
397,"inject"
397,"obtain"
397,"pack"
398,"sit"
399,"hit"
