"transactionId","item","negativeFlushot"
2,"damn",1
2,"hurt",1
2,"gon",1
2,"punch",1
3,"paralyzed",1
4,"nigga",0
5,"push",0
5,"untested",0
5,"pregnant",0
7,"paralyze",1
8,"die",0
9,"fool",0
10,"battle",0
10,"sick",0
10,"figure",0
11,"hurt",1
11,"bad",1
13,"require",0
14,"mandatory",0
14,"pissed",0
15,"damn",0
15,"sick",0
16,"dude",0
16,"scary",0
17,"fall",1
18,"effective",0
18,"mutate",0
19,"paralyzed",1
22,"circulate",1
24,"sick",0
25,"left",1
25,"dead",1
26,"stop",0
26,"sick",0
26,"single",0
27,"weak",1
28,"surprised",0
28,"nag",0
30,"shot?isnt",0
30,"suppose",0
30,"prevent",0
31,"vaccinate",1
32,"match",1
32,"explain",1
33,"effective",1
33,"confident",1
34,"bad",0
36,"gon",0
37,"fuck",0
38,"accord",0
39,"sick",0
40,"throb",1
40,"whysopainful",1
41,"tryst",1
43,"remind",1
44,"scared",0
45,"swell",1
45,"hurt",1
46,"reveal",0
47,"lousy",0
47,"fatigued",0
47,"rest",0
47,"tired",0
47,"lame",0
48,"paralyze",1
48,"federal",1
50,"faint",0
52,"regret",1
52,"stupid",1
52,"move",1
53,"dead",1
54,"endorse",0
54,"require",0
55,"realize",1
56,"contemplate",0
56,"read",0
56,"abt",0
57,"drive",1
57,"crazy",1
57,"decline",1
58,"pregnant",0
58,"reconsider",0
58,"pregnant",0
59,"hear",0
60,"hurt",1
60,"sock",1
61,"bother",0
61,"wash",0
61,"wash",0
61,"wash",0
64,"super",1
64,"sore",1
64,"lol",1
65,"force",0
65,"inject",0
68,"terrible",0
68,"wake",0
68,"lucid",0
68,"sweat",0
68,"total",0
68,"blame",0
69,"sick",0
69,"angry",0
70,"hear",0
70,"throw",0
71,"hurt",0
71,"bad",0
72,"mutate",0
72,"effective",0
73,"useless",1
73,"left",1
74,"hurt",1
75,"advise",0
75,"protect",0
75,"common",0
76,"left",1
76,"ugh",1
77,"modern",0
77,"immune",0
79,"hurt",1
79,"bad",1
79,"funny",1
80,"current",1
80,"correct",1
81,"hurt",1
82,"smack",1
83,"worth",0
85,"fuck",1
86,"sick",0
88,"sore",1
89,"kick",0
91,"valuable",0
93,"stupid",0
93,"suppose",0
93,"bad",0
95,"annual",0
97,"deal",0
98,"hurt",1
99,"gettin",0
100,"hurt",0
100,"bad",0
101,"sore",0
103,"sick",1
104,"tired",0
104,"achy",0
109,"mandatory",0
110,"vaccinate",0
110,"fuck",0
111,"fuck",0
111,"sick",0
112,"cry",0
113,"skip",0
114,"wash",1
114,"close",1
115,"hate",0
115,"sick",0
116,"deam",0
116,"effective",0
116,"wrong",0
116,"glad",0
116,"waste",0
117,"@hbapothecary",0
117,"screw",0
122,"skip",1
122,"die",1
124,"hurt",1
125,"current",1
125,"correct",1
127,"numb",1
128,"sad",0
128,"gross",0
129,"11th",0
129,"sick",0
131,"stop",0
132,"nonprofit",0
132,"widespread",0
132,"adults",0
133,"hurt",0
134,"gon",0
134,"awful",0
134,"pointless",0
135,"sick",0
135,"stop",0
136,"cringe",0
136,"hear",0
138,"hide",0
138,"avoid",0
138,"draw",0
139,"agree",0
140,"celebrate",0
141,"sore",1
142,"huuurt",0
143,"sick",0
145,"amputate",1
145,"left",1
145,"ridiculous",1
145,"bring",1
147,"@jam_aq",0
148,"hurt",1
150,"move",1
150,"sleep",1
151,"juic",0
152,"gon",0
153,"hate",0
153,"actual",0
154,"swear",1
154,"god",1
155,"nyquilforme",0
156,"hurt",1
157,"wary",1
157,"bad",1
158,"painful",1
160,"paralyzed",1
162,"hurt",1
163,"hard",0
163,"anti",0
164,"trust",0
165,"hurt",0
166,"paralyze",1
166,"healthy",1
167,"paralyze",1
167,"win",1
170,"bad",0
171,"text",0
173,"surprised",0
175,"free",0
175,"mf",0
175,"save",0
176,"sick",0
176,"scared",0
178,"disappoint",1
178,"hurt",1
179,"sick",0
179,"fair",0
179,"bad",0
180,"bruise",1
180,"hate",1
181,"hate",0
182,"sick",0
184,"refuse",0
184,"fight",0
186,"jumkisiid8",0
189,"prove",0
189,"effective",0
189,"dangerous",0
189,"accord",0
190,"remember",0
190,"hurt",0
190,"bad",0
191,"trust",0
192,"glad",0
193,"infect",0
194,"die",0
195,"medical",0
196,"bad",0
196,"refuse",0
196,"stupid",0
197,"beg",0
198,"kill",1
200,"hurt",1
200,"stupid",1
201,"insist",0
201,"refuse",0
202,"glad",0
203,"sick",0
205,"sick",0
206,"hurt",1
206,"forget",1
207,"allergic",0
207,"ill",0
208,"bad",0
208,"cough",0
210,"late",0
212,"hop",0
212,"survive",0
214,"pray",0
217,"nigga",0
217,"catch",0
217,"send",0
219,"protect",0
219,"seasonal",0
220,"deliver",0
220,"unx3prfe7c",0
221,"@sweetnsvry",0
221,"remember",0
221,"read",0
221,"fight",0
223,"bother",1
223,"special",1
224,"boo",0
225,"remind",0
225,"achy/",0
225,"feverish",0
227,"outchea",0
227,"sound",0
228,"invincible",0
229,"invincible",0
229,"screw",0
