"review_id","user_id","business_id","stars","date","text","useful","funny","cool"
"VfBHSwC5Vz_pbFluy07i9Q","cjpdDjZyprfyDG3RlkVG3w","uYHaNptLzDLoV_JZ_MuzUA","5","2016-07-12","My girlfriend and I stayed here for 3 nights and loved it. The location of this hotel and very decent price makes this an amazing deal. When you walk out the front door Scott Monument and Princes street are right in front of you, Edinburgh Castle and the Royal Mile is a 2 minute walk via a close right around the corner, and there are so many hidden gems nearby including Calton Hill and the newly opened Arches that made this location incredible.  The hotel itself was also very nice with a reasonably priced bar, very considerate staff, and small but comfortable rooms with excellent bathrooms and showers. Only two minor complaints are no telephones in room for room service (not a huge deal for us) and no AC in the room, but they have huge windows which can be fully opened. The staff were incredible though, letting us borrow umbrellas for the rain, giving us maps and directions, and also when we had lost our only UK adapter for charging our phones gave us a very fancy one for free.  I would highly recommend this hotel to friends, and when I return to Edinburgh (which I most definitely will) I will be staying here without any hesitation.","0","0","0"
"3zRpneRKDsOPq92tq7ybAA","bjTcT8Ty4cJZhEOEo01FGA","uYHaNptLzDLoV_JZ_MuzUA","3","2016-10-02","If you need an inexpensive place to stay for a night or two then you may consider this place but for a longer stay I'd recommend somewhere with better amenities.   Pros: Great location- you're right by the train station, central location to get to old town and new town, and right by sight seeing his tours. Food, bars, and shopping all within walking distance. Location, location, location. Very clean and very good maid service  Cons: Tiny rooms  Uncomfortable bed  Absolutely no amenities  No phone in room  No wardrobe   Was given a lot of attitude about me and my husband sharing a room which was quite strange and we were charged 15 pounds more for double occupancy not sure why that matters I felt like it was a money grab. It was just handled in a kind of odd manner to me...   If you book this hotel all you get is a bed, desk, and a bathroom. It isn't awful but know what you're getting into.","0","0","0"
"ne5WhI1jUFOcRn-b-gAzHA","AXgRULmWcME7J6Ix3I--ww","uYHaNptLzDLoV_JZ_MuzUA","3","2015-09-17","Mittlerweile gibt es in Edinburgh zwei Ableger der Motel-One-Kette - diese hier ist eher das schlechtere.  Wir hatten auf unserer Schottlandtour die Gelegenheit beide Ableger kennenzulernen, da wir beide Nächte in Edinburgh (am ersten sowie am letzten Tag) in einem der beiden Motel One's verbrachten. Von diesem hier waren wir nach dem überraschend positiven Erlebnis im Motel One an der Princes Street [1] etwas enttäuscht.  Das Hotel ist wesentlich größer und extrem unübersichtlich. Da man auf der fünften Etage noch Teile eines weiteren Gebäude, das mittels einer Glasbrücke mit dem Hauptgebäude verbunden ist, hinzugenommen hat, kann die Suche nach dem Zimmer insbesondere auf dieser Etage zu einem Gang im Labyrinth ausarten. Habe ich so noch in keinem Hotel erlebt - uns begegneten immer wieder Menschen, die sich auf der Suche nach ihren Zimmern verirrt haben. Unser Zimmer war ähnlich aufgebaut wie das Zimmer im Motel One Princes Street - befand sich jedoch im Inneren des Gebäudes und hatte daher kein Fenster. Nur eine kleine Dachluke, die sich am oberen Ende eines etwa 3m langen Schachts befand, sorgte für einen minimalen Anteil Tageslicht im Zimmer. diese Luke ließ sich auch nicht öffnen, nur ein elektrisches Rollo ließ sich mittels eines Schalters öffnen bzw. schließen. Sonst gilt für das Zimmer eigentlich das Gleiche wie für das Zimmer im im Motel One Princes Street: Relativ klein, trotzdem extrem ansprechend und schick gestaltet und clever durchdacht. Dazu sehr ruhig.  Im gesamten Hotel gibt es kostenloses WLAN für die Dauer des Aufenthalts für maximal 3 Geräte.  Die Lage des Motel One Royal Mile ist großartig. Vom Airlink-Flughafenbus kann man quasi in den Hoteleingang stolpern, es sind maximal 50m. Zur Royal Mile sind es etwa 100m Luftlinie (bergauf) und man benötigt etwa 5 Minuten bis dort.  Das Frühstück für 9,50 GBP / Person kann man nutzen - muss man aber nicht. Es ist eher übersichtlich und kontinetaler Prägung, trotzdem aber sehr gut. Für den gleichen Preis oder weniger bekommt man aber problemlos ein reichhaltiges Frühstück in einem der zahlreichen Cafes von Edinburgh.  Für ein oder zwei Nächte kann man hier problemlos bleiben, sollte aber nicht allzuviel erwarten. Hat man die Wahl, sollte man meiner Erfahrung nach lieber auf das andere Motel One an der Princes Street ausweichen.    ---- [1] http://www.yelp.de/biz/motel-one-edinburgh-2?hrid=7UDwl3s_DuOokkGPZXZgBw","0","0","0"
"llmdwOgDReucVoWEry61Lw","oU2SSOmsp_A8JYI7Z2JJ5w","uYHaNptLzDLoV_JZ_MuzUA","4","2016-08-21","Location is everything and this hotel has it! The reception is inviting and open 24 hours. They are very helpful and have a lot of patience answering all my questions about where to go etc. there is also a lounge open 24 hours with snack-type food. Breakfast is continental-style so if you want heartier fare look elsewhere though you don't have to go far. The bus and train stations are right across the street so it's easy access to the airport or anywhere else you may want to go. Turn uphill to old town or cross the bridge to new town. The room with a view i got was spacious and comfortable though it's a bit of a maze to find it-just follow the signs. The windows are double paned so the room is quiet plus i was on the 5th floor which helps. It's a bit pricey but still one of the best values i found!","0","0","0"
"DuffS87NaSMDmIfluvT83g","0xtbPEna2Kei11vsU-U2Mw","uYHaNptLzDLoV_JZ_MuzUA","5","2013-11-20","gute lage im stadtzentrum. shoppingmeile und sehenswürdigkeiten, sowie gute pubs in laufweite. das hotel ist neu, gut gepflegt und hat bemühtes/nettes personal. ideal für einen kurztrip nach edinburgh. längere aufenthalte eher nicht, da die zimmer recht klein sind.","0","0","0"
"GvLmUkjUrOyFH8KFnmT1uw","rW8q706dz5-NnXDzMwVkiw","uYHaNptLzDLoV_JZ_MuzUA","5","2016-06-05","Erstklassige Lage. Dazu ist alles geschrieben  worden. Wir hatten Zimmer 718 mit Blick auf den Bahnhof. Ist zwar zu laut mit offenen Fenster nachts, aber der Ausblick verzeiht alles. Das Personal ist sehr freundlich und super hilfsbereit. Wer Edinburgh zu Fuß erkunden möchte, ist hier perfekt aufgehoben.","0","0","0"
"lGEl24NGj2HVBJrodeXcjg","yx8vNXUL0D0HS8rUIC7AFA","uYHaNptLzDLoV_JZ_MuzUA","4","2015-02-21","Beautiful space, great location, staff rock. Tiny room, but this was expected. Bathroom amazing. Walls, however, paper thin, which is why I can barely string a sentence together in this review.","0","0","0"
"cUgvEy5wj7zYE68v1BzzVg","zXnH6W74FAJQ7q7b-NuBsA","uYHaNptLzDLoV_JZ_MuzUA","4","2013-07-07","This is a fairly new property I think. It is a German company and has most of the amenities you would want. It is priced on the budget minded side so it won't break your bank. Location is really good. Near the Royal Mile and Waverley station without being too noisy. Very easy to walk to everything we wanted to do. Has WiFi but we did have to re-log in every day.","0","0","0"
"FSB_BnvysBgH3JYrbFNcgw","c5yp5hxwC1N98MjbV2LyWQ","uYHaNptLzDLoV_JZ_MuzUA","4","2013-04-27","First time at this group of hotels. Pretty new, only one in UK, another to open in Edinburgh and one in London. Rooms not very big but great price and location for a weekend in Edinburgh. Rooms clean, comfortable, good shower and free wifi!","2","0","2"
"dhl3ZW9aAEX_T7_um5tfaQ","xJisL5w4wOgiYLokGMT_IA","uYHaNptLzDLoV_JZ_MuzUA","4","2015-04-13","Location location location!   Motel One is just right in the middle of everything. To one side you have the New town and the main trains station ( and right in front of the airport bus)  and on the other side the beautiful old town of Edinburg.   The room was small but clean and with all you need.  The bathroom was also small but nice and clean and the shower was big and good! Next to the bed there is a European plug (CC 7/7) so we actually didn't need to use our adapter.   The beed was to hard for my back and I prefer the bed more soft, but I will still come back to Edinburgh and Motel One.","2","0","0"
"JQJvnM3p-3eML05eKcTgiw","tgV6tsYQ66DZ3LQKvtC6cw","uYHaNptLzDLoV_JZ_MuzUA","4","2016-11-08","A hotel that has all the basics that you'd need - no additional fuss. For the price we paid, I'd say this place is actually pretty good value. The location is super central and it's easy to get to everywhere from here! It's also right next to the airport shuttle bus and train station, so transport is also easy.   The insides is a bit of a maze depending on where your room is located - you may have to go down to go up to go back down again to get to your room! But no bother, it's good for walking off the chips and sobering from your drinks.","1","1","1"
"6JF4WfHgwYrrdZ2VeYtnFw","Q-3YCVywc03w56wYtGlKvg","uYHaNptLzDLoV_JZ_MuzUA","3","2015-07-27","Stayed here for two nights, costs was £109 per night for two people sharing a room which was not a budget price for what felt like budget rooms. Firstly they don't have any twin rooms in the hotel which would be preferable when I was sharing with a friend not my lover! There is only one small bin which is located in the bathroom.  No soap, which I find ridiculous, only toiletries were a dual shower gel/hair wash. There was a hairdryer but no wardrobes or drawers. Room was also very cold.   Now for the positive, the location is very good, close to princes street and St. Andrews square. The staff are very helpful and the bar is 24 hours.   Don't bother with the breakfast which is £9.50 each for a continental breakfast where you can easily get a cooked breakfast in any one of the cafes in Cockburn Street, which is adjacent to this hotel.   If I go to Edinburgh again I will book a different hotel.","1","0","0"
"fbVYETRuWDw8QnpimpGMpg","Cx4UCow0zQgFQOp47RRRaA","uYHaNptLzDLoV_JZ_MuzUA","4","2014-05-07","Well, i like the idea of Motel One. Always in the center of the city, somehow modern design, good beds. No fancy unnecessary stuff. All of this is true for this motel one in Edinburgh. Perfectly located even if it's hard to discover.  Breakfast is ok, but not more.  Service is friendly.  No twin rooms available..","1","0","0"
"lobj38NgaokqVseN8_nn6g","eqWEgMH-DCP74i82BEAZzw","uYHaNptLzDLoV_JZ_MuzUA","4","2015-02-26","I really do love the Germans. This chain is spreading fast over there and they're bringing their efficiency and attention to detail with them here.   Motel One is, as the name suggests, aimed at the budget market. Rates for this venue range from approximately £69/night up. I booked ahead and appreciated the completely free reservation process with room guaranteed until 6pm on the day of arrival. If you give your credit card details, it's reserved beyond that time.  Location is excellent! If you exit from the Market St side of Waverly and turn right it's maybe 3 minutes away. It would be very hard to have it closer. That also makes it very close to the castle and Princes St. Welcome was warm and check-in easy. The lobby area is pretty small but clean and cosy with sweets, maps etc. There's a bar area down a few steps where they also serve the buffet breakfast each morning.  My room was the cheapest version and was internal, facing onto a courtyard. It had no view and was quite dark, but quiet. Everything was completely spotless. The bathroom was small but well designed and had a great shower. Bed was comfy with 2 single duvets. So continental, don't you know? I appreciated the tea and coffee making facilities (I'm like a beast without them), the decent sized TV and the free wifi. The hanging storage facilities are limited but it was fine for a few days.   Random: hands down the best hotel hairdryer I have ever used. And one of the best dryers in general-called a Black Mambo. It was worth staying there for that alone. Well, you know, also the really good value and the pristine conditions. But definitely the hairdryer.","1","0","0"
